

Trajectories
100
,,LeftHand:Index1,,,LeftHand:Index2,,,LeftHand:Index3,,,LeftHand:Thumb1,,,LeftHand:Thumb2,,,LeftHand:Thumb3,,,LeftHand:Wrist1,,,LeftHand:Wrist2,,,LeftHand:Wrist3,,,LeftHand:Wrist4,,,Realsense:Camera1,,,Realsense:Camera2,,,Realsense:Camera3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,1173.918457,765.179321,746.639587,1199.563232,755.083130,745.505249,1220.380615,746.347534,747.780334,1094.957520,751.766235,744.076599,1117.631592,730.872742,744.607117,1141.365601,711.334595,746.867615,1130.780396,793.163879,744.116211,1127.520264,822.211060,745.202026,1081.630005,807.136597,745.543945,1011.913330,802.275452,745.473145,1524.899170,832.500244,1709.893555,1507.044556,781.366821,1724.225708,1521.406250,727.514343,1710.603271
2,0,1173.922119,765.160889,746.635315,1199.572876,755.078491,745.491882,1220.365234,746.244934,747.726868,1094.958130,751.770447,744.070312,1117.626709,730.867310,744.599182,1141.359375,711.328003,746.868225,1130.773804,793.164856,744.135010,1127.518555,822.210938,745.227966,1081.633301,807.127625,745.546814,1011.912964,802.265503,745.460266,1524.892700,832.502625,1709.892822,1507.034912,781.359314,1724.219971,1521.389648,727.502075,1710.603271
3,0,1173.926758,765.156860,746.643555,1199.565430,755.070984,745.497253,1220.388550,746.385193,747.798523,1094.951416,751.759216,744.069946,1117.624878,730.870239,744.604004,1141.361694,711.331299,746.867737,1130.975342,793.203186,744.174866,1127.514038,822.210571,745.231689,1081.626343,807.120850,745.547852,1011.901978,802.257446,745.462646,1524.896240,832.494202,1709.898438,1507.042114,781.344788,1724.220825,1521.380371,727.509888,1710.603638
4,0,1173.912720,765.164124,746.638916,1199.552979,755.095520,745.504333,1220.353149,746.261353,747.746948,1094.953613,751.770508,744.078674,1117.630005,730.868103,744.606323,1141.358765,711.331970,746.875061,1130.984009,793.206177,744.172058,1127.516846,822.206665,745.218872,1081.631470,807.121582,745.555847,1011.903259,802.275940,745.475647,1524.900146,832.507507,1709.896118,1507.043579,781.356201,1724.221436,1521.403931,727.504578,1710.608276
5,0,1173.919189,765.170166,746.634155,1199.567749,755.087952,745.508179,1220.351196,746.271362,747.743652,1094.947754,751.765320,744.063416,1117.626343,730.865479,744.605042,1141.366577,711.329407,746.862183,1130.967407,793.208984,744.156494,1127.519531,822.218872,745.227600,1081.632202,807.127869,745.546082,1011.907959,802.272827,745.477112,1524.901978,832.506165,1709.886108,1507.039673,781.351685,1724.222656,1521.402588,727.501282,1710.619995
6,0,1173.927246,765.160645,746.633057,1199.567627,755.072021,745.490723,1220.389160,746.399841,747.790771,1094.944214,751.763062,744.069031,1117.625854,730.861389,744.599670,1141.363892,711.325806,746.849060,1130.953613,793.209106,744.168457,1127.517090,822.219604,745.229431,1081.633545,807.119751,745.548218,1011.906616,802.261230,745.467896,1524.893311,832.513428,1709.898682,1507.046509,781.355042,1724.227173,1521.394897,727.495850,1710.608887
7,0,1173.914062,765.148621,746.632751,1199.562988,755.083069,745.502502,1220.381348,746.392395,747.780334,1094.947388,751.754089,744.076660,1117.633667,730.849976,744.597656,1141.359131,711.322754,746.862244,1130.949341,793.206116,744.162231,1127.459717,822.130981,745.047913,1081.632324,807.119141,745.546265,1011.904968,802.261780,745.475769,1524.900635,832.497498,1709.886963,1507.048340,781.368713,1724.244873,1521.404053,727.489502,1710.593628
8,0,1173.918701,765.188721,746.664001,1199.554077,755.096252,745.521545,1220.385132,746.404541,747.800964,1094.941895,751.773804,744.085754,1117.622803,730.860901,744.611938,1141.361572,711.338257,746.874084,1130.760986,793.180115,744.129883,1127.516968,822.208069,745.224426,1081.620605,807.120178,745.556274,1011.900574,802.272583,745.483887,1524.892578,832.503540,1709.885864,1507.045532,781.362244,1724.234253,1521.400024,727.514038,1710.601074
9,0,1173.917480,765.170593,746.642334,1199.570190,755.102051,745.505737,1220.382568,746.378235,747.796387,1094.939941,751.774048,744.079529,1117.633789,730.866699,744.605469,1141.364624,711.330811,746.861389,1130.912231,793.206543,744.150391,1127.521484,822.220276,745.222168,1081.623657,807.133545,745.558899,1011.906616,802.271240,745.477295,1524.889160,832.510742,1709.885376,1507.048096,781.364502,1724.241577,1521.390747,727.506592,1710.586792
