

Trajectories
100
,,RightHand1:Wrist1,,,RightHand1:Wrist2,,,RightHand1:Wrist3,,,RightHand1:Thumb1,,,RightHand1:Thumb2,,,RightHand1:Thumb3,,,RightHand1:IndexFinger1,,,RightHand1:IndexFinger2,,,RightHand1:IndexFinger3,,,LeftHand1:IndexFinger1,,,LeftHand1:IndexFinger2,,,LeftHand1:IndexFinger3,,,LeftHand1:Thumb1,,,LeftHand1:Thumb2,,,LeftHand1:Thumb3,,,LeftHand1:Wrist1,,,LeftHand1:Wrist2,,,LeftHand1:Wrist3,,,LeftHand1:Wrist4,,,Realsense:Camera1,,,Realsense:Camera2,,,Realsense:Camera3,,,Cup:Corner1,,,Cup:Corner2,,,Cup:Corner3,,,Cup:Corner4,,,Cup:Corner5,,,Cup:Corner6,,,Cup:Corner7,,,Cup:Corner8,,,Coffee:Corner1,,,Coffee:Corner2,,,Coffee:Corner3,,,Coffee:Corner4,,,Coffee:Corner5,,,Coffee:Corner6,,,Coffee:Corner7,,,Coffee:Corner8,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
877,0,641.651062,930.760498,1001.787048,644.434387,997.450195,997.964844,677.475708,972.808777,1031.049194,694.360535,905.852234,1012.762085,703.864014,871.288513,1001.912720,697.945679,835.674255,995.153625,625.704407,861.049500,989.020203,615.963257,839.472839,975.012268,611.314453,813.255798,958.818726,7.103154,299.543182,756.507568,37.345730,301.305786,751.101501,59.826778,303.609619,747.705139,-64.500427,249.010406,754.577332,-35.903999,237.495392,750.917664,-4.178269,228.971603,745.862000,-38.393063,308.031921,767.202759,-53.814342,336.820099,760.859253,-82.164246,307.759674,772.640015,-134.678467,274.414673,794.926453,185.947495,980.270325,1492.298096,239.197800,974.133362,1516.278320,290.314819,986.237854,1498.549316,542.656555,-504.794708,835.146606,495.976013,-509.663269,834.355591,489.353607,-445.147095,834.602112,551.036560,-451.647583,834.341797,488.243408,-512.275696,738.041321,487.370331,-436.138794,739.769226,552.183167,-443.401489,740.222900,548.848022,-511.480164,740.382446,278.408813,-93.225761,847.533325,277.994659,-20.605257,847.508484,197.429764,-24.060707,845.584290,201.214508,-93.788322,844.390930,288.217224,-98.772926,742.741150,285.839233,-16.786495,741.983398,192.855042,-20.954092,739.206360,198.459747,-100.002716,739.112976
878,0,643.087524,925.249634,1005.136108,645.884766,991.907471,1000.763306,679.044800,967.550598,1033.838135,695.880493,900.418274,1015.826965,705.603882,865.723022,1005.206604,699.319397,829.916626,998.210876,627.376465,856.224915,992.922119,617.307373,834.118042,978.733398,612.535095,808.183411,962.759399,7.124828,299.520142,756.482788,37.366779,301.271088,751.081726,59.816296,303.749451,747.616821,-64.480286,248.968613,754.537903,-35.432575,236.628891,750.805847,-4.122383,228.898605,745.855164,-38.386066,308.027557,767.213562,-53.764164,336.536804,760.565308,-82.140488,307.723480,772.634827,-134.577774,274.312469,794.909729,185.952728,980.236145,1492.279419,239.194046,974.127686,1516.282715,290.311096,986.241150,1498.554077,542.675293,-504.819092,835.132080,495.987671,-509.653381,834.357239,489.388245,-445.147369,834.595459,551.053772,-451.694977,834.324158,488.278015,-512.304871,738.026123,487.394379,-436.136169,739.789001,552.207581,-443.406006,740.237671,548.852356,-511.479126,740.367920,278.420135,-93.243042,847.522461,277.991608,-20.618744,847.498718,197.431931,-24.066078,845.596313,201.273849,-93.805618,844.333374,288.234741,-98.847565,742.710388,285.830292,-16.811249,741.961670,192.845520,-20.962027,739.212769,198.475540,-100.058792,739.058167
879,0,644.336670,920.104065,1008.523560,647.146179,986.842773,1004.030334,679.662659,962.353577,1037.207764,695.826904,895.546326,1020.068054,705.655884,860.589783,1009.114990,700.404297,824.756348,1002.176025,628.765991,852.053467,996.266113,618.625305,827.057617,983.539734,613.484985,802.772339,967.050293,7.108109,299.522308,756.488953,37.368519,301.291473,751.114929,59.811283,303.758392,747.625854,-64.490288,248.988052,754.558899,-35.196625,236.705597,750.326416,-3.854015,228.227264,745.721008,-38.392365,308.019745,767.214355,-53.926910,336.688690,760.769836,-82.119614,307.749939,772.666077,-134.522583,274.290070,794.940918,185.942856,980.250732,1492.324341,239.193970,974.135315,1516.288452,290.317108,986.261230,1498.575195,542.672607,-504.823273,835.155884,495.991913,-509.651550,834.360474,489.417236,-445.123718,834.612610,551.088989,-451.663116,834.348633,488.251526,-512.215088,738.007263,487.413025,-436.116516,739.786316,552.243896,-443.402466,740.260925,548.861938,-511.484619,740.373413,278.416382,-93.237030,847.548218,277.991333,-20.618530,847.507446,197.429184,-24.062969,845.600830,201.274918,-93.789543,844.340210,288.232880,-98.819344,742.737366,285.833832,-16.803820,741.986511,192.849380,-20.975616,739.224365,198.451035,-100.034576,739.094238
880,0,645.425598,915.184570,1011.918640,648.698547,981.609070,1006.706482,681.404846,957.395325,1040.057251,697.687744,890.110107,1022.846191,707.011414,855.275330,1012.526733,701.552551,819.794373,1006.805542,629.301270,845.999390,1000.326782,619.679077,823.765381,987.182190,614.306519,797.064270,971.138367,7.080207,299.546265,756.493774,37.349396,301.320679,751.124268,59.806030,303.789825,747.647461,-64.463348,248.995956,754.544556,-35.219090,236.774750,750.384094,-3.934384,228.699875,745.661865,-38.390446,308.069458,767.240112,-53.854935,336.521606,760.584106,-82.097504,307.762817,772.678162,-134.520004,274.321960,795.019470,185.964844,980.188965,1492.341553,239.191330,974.143433,1516.288818,290.320984,986.277527,1498.579834,542.664673,-504.811523,835.161255,495.990479,-509.619171,834.370422,489.431610,-445.104645,834.612915,551.100830,-451.653046,834.365173,488.201599,-512.196411,738.011292,487.448303,-436.116547,739.770813,552.261658,-443.396423,740.240234,548.843933,-511.459595,740.387207,278.413025,-93.206787,847.545471,278.004333,-20.611916,847.514343,197.437256,-24.076088,845.579773,201.234985,-93.793571,844.379028,288.213135,-98.789375,742.754089,285.839935,-16.785110,741.983154,192.849030,-20.958595,739.223999,198.423706,-100.016914,739.095093
881,0,646.612671,910.274353,1015.123108,649.949158,976.875366,1009.721497,682.976013,952.630493,1042.930786,698.876465,885.087952,1026.066040,708.061401,850.024963,1015.858276,702.116028,814.917847,1010.174011,629.963684,841.311707,1003.686523,619.786987,818.507202,990.642334,615.480774,790.496216,976.353027,7.097447,299.495239,756.444702,37.345325,301.312958,751.104614,59.801311,303.775085,747.620911,-64.475685,248.952728,754.512329,-35.187473,236.702866,750.322693,-3.910927,228.722366,745.647949,-38.384857,308.034882,767.212402,-53.796345,336.560120,760.640747,-82.074120,307.724518,772.662415,-134.451950,274.247162,795.037231,185.930588,980.256348,1492.326904,239.187134,974.140259,1516.286255,290.315094,986.262756,1498.559204,542.662354,-504.812012,835.140991,495.983490,-509.625549,834.356628,489.432159,-445.113708,834.607910,551.097595,-451.663666,834.344238,488.222351,-512.236145,738.007874,487.452820,-436.103210,739.778076,552.264282,-443.409241,740.239563,548.841064,-511.486816,740.377075,278.412598,-93.234314,847.541565,278.006165,-20.617298,847.493896,197.430878,-24.063229,845.576355,201.212219,-93.786079,844.385071,288.222351,-98.770561,742.732300,285.837524,-16.790836,741.964966,192.833328,-20.961336,739.209229,198.410980,-100.018524,739.076416
882,0,647.661560,905.586975,1018.325195,651.451050,972.180237,1012.443420,684.413269,947.908020,1045.711914,699.923767,880.292847,1029.442627,708.961487,845.072144,1019.378784,702.697083,809.988342,1013.848877,630.901428,836.512146,1007.482178,620.746643,813.543701,994.582947,615.982483,786.562988,980.217590,7.099084,299.440430,756.412476,37.343899,301.268066,751.087158,59.806431,303.751404,747.603088,-64.457390,248.920517,754.499084,-35.156647,236.643021,750.280151,-3.881012,228.681046,745.626465,-38.383495,307.946259,767.177612,-53.802170,336.914917,761.096619,-82.029396,307.645721,772.635376,-134.366119,274.158264,795.033020,185.944992,980.250000,1492.280518,239.199219,974.138184,1516.288696,290.317017,986.234070,1498.551025,542.674927,-504.838165,835.138367,495.984528,-509.637177,834.351746,489.432312,-445.124298,834.606201,551.099548,-451.692566,834.341431,488.218811,-512.221008,737.984253,487.448975,-436.103302,739.786682,552.266846,-443.432983,740.235535,548.857849,-511.490173,740.373657,278.403564,-93.246323,847.538330,277.993561,-20.641979,847.492188,197.428833,-24.079960,845.587219,201.260330,-93.828094,844.336060,288.235840,-98.858009,742.707275,285.818604,-16.805204,741.978394,192.843170,-20.974047,739.206970,198.447662,-100.080719,739.019409
883,0,648.669861,901.289856,1021.522156,652.865540,967.743103,1015.151367,685.799744,943.323669,1048.338135,700.746887,875.597656,1032.658569,709.588440,840.269043,1022.801147,703.136963,805.371948,1017.719482,631.416992,832.382629,1010.873901,621.071655,809.223022,998.102295,616.378235,782.110168,983.780396,7.087132,299.412079,756.418762,37.341446,301.274170,751.111694,59.788673,303.789642,747.681824,-64.454628,248.900421,754.502197,-35.173386,236.672180,750.299622,-3.880458,228.690002,745.644470,-38.379841,307.950470,767.213196,-53.797489,336.675568,760.896240,-82.006035,307.603973,772.659546,-134.321365,274.114594,795.077332,185.958298,980.268738,1492.273315,239.196503,974.126587,1516.289917,290.323700,986.254150,1498.577881,542.662231,-504.847107,835.150635,495.978912,-509.632416,834.367615,489.427826,-445.118713,834.620544,551.106628,-451.677826,834.372253,488.230011,-512.225342,737.994995,487.440430,-436.123047,739.783569,552.262512,-443.415802,740.266235,548.854553,-511.480804,740.381958,278.415283,-93.247978,847.547485,278.000549,-20.636930,847.505310,197.422470,-24.069086,845.608765,201.272003,-93.788055,844.348022,288.227386,-98.831467,742.745728,285.817749,-16.798267,741.988770,192.839081,-20.979038,739.217407,198.432922,-100.098656,739.026001
884,0,649.663025,897.079285,1024.487671,654.422241,963.394226,1017.563965,687.133423,939.149292,1051.055298,701.648254,870.928711,1035.515259,710.123169,835.586426,1025.994141,703.434143,800.736633,1021.065857,631.819885,827.698914,1014.351746,621.571777,804.501404,1001.791504,616.570496,777.875427,987.565125,7.079051,299.420044,756.406311,37.322495,301.321350,751.132690,59.777744,303.815552,747.683899,-64.460342,248.922974,754.520264,-35.181091,236.692978,750.309021,-3.882603,228.724503,745.646790,-38.392014,307.956696,767.201355,-53.803558,336.795349,761.035400,-81.992340,307.615387,772.687988,-134.277771,274.103424,795.114929,185.974060,980.235718,1492.338013,239.195953,974.134827,1516.284302,290.325043,986.271240,1498.580933,542.640503,-504.835175,835.154297,495.968964,-509.614105,834.354736,489.415588,-445.103760,834.616211,551.084412,-451.680206,834.368835,488.241577,-512.224243,738.023254,487.450500,-436.114349,739.775879,552.253845,-443.412415,740.243347,548.849609,-511.476166,740.385681,278.411377,-93.201080,847.547607,277.990265,-20.609051,847.515625,197.425903,-24.085764,845.575439,201.225662,-93.788612,844.403503,288.215851,-98.800110,742.754028,285.820282,-16.783422,741.989136,192.832214,-20.964005,739.214050,198.412125,-100.085800,739.029114
885,0,650.656372,892.783752,1026.873413,655.817810,959.371765,1019.999146,688.514771,934.953125,1053.412231,702.470825,866.584106,1038.308350,710.732788,831.044678,1029.019287,703.600037,795.232788,1023.613464,632.312622,823.429626,1017.648438,622.081238,801.097534,1004.840027,617.036316,773.632446,990.878906,7.076788,299.410706,756.394897,37.332195,301.303864,751.113159,59.798176,303.765686,747.627930,-64.463387,248.913528,754.494629,-35.171177,236.677872,750.312195,-3.876740,228.694733,745.623169,-38.376759,307.966919,767.207520,-53.869522,336.543823,760.756836,-81.970009,307.626709,772.671936,-134.236542,274.067078,795.116272,185.937668,980.293152,1492.271729,239.197098,974.135437,1516.277222,290.330200,986.276062,1498.571289,542.644714,-504.858307,835.135376,495.955139,-509.644440,834.345886,489.412811,-445.126221,834.594482,551.078491,-451.684021,834.344849,488.213684,-512.222473,737.987427,487.443542,-436.103546,739.773132,552.263672,-443.416321,740.248047,548.839661,-511.506073,740.376099,278.404358,-93.226814,847.535828,277.995148,-20.620480,847.491333,197.423187,-24.067926,845.591919,201.222214,-93.792633,844.372070,288.208893,-98.802551,742.717407,285.832275,-16.798603,741.970398,192.842026,-20.980255,739.195801,198.430862,-100.119637,738.998413
