RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,Cup:Corner1_X,Cup:Corner1_Y,Cup:Corner1_Z,Cup:Corner2_X,Cup:Corner2_Y,Cup:Corner2_Z,Cup:Corner3_X,Cup:Corner3_Y,Cup:Corner3_Z,Cup:Corner4_X,Cup:Corner4_Y,Cup:Corner4_Z,Cup:Corner5_X,Cup:Corner5_Y,Cup:Corner5_Z,Cup:Corner6_X,Cup:Corner6_Y,Cup:Corner6_Z,Cup:Corner7_X,Cup:Corner7_Y,Cup:Corner7_Z,Cup:Corner8_X,Cup:Corner8_Y,Cup:Corner8_Z,Coffee:Corner1_X,Coffee:Corner1_Y,Coffee:Corner1_Z,Coffee:Corner2_X,Coffee:Corner2_Y,Coffee:Corner2_Z,Coffee:Corner3_X,Coffee:Corner3_Y,Coffee:Corner3_Z,Coffee:Corner4_X,Coffee:Corner4_Y,Coffee:Corner4_Z,Coffee:Corner5_X,Coffee:Corner5_Y,Coffee:Corner5_Z,Coffee:Corner6_X,Coffee:Corner6_Y,Coffee:Corner6_Z,Coffee:Corner7_X,Coffee:Corner7_Y,Coffee:Corner7_Z,Coffee:Corner8_X,Coffee:Corner8_Y,Coffee:Corner8_Z
00135_color_1715976615.910818.png,1913,1715976615.91432,624.377502,316.062073,845.049622,678.625916,358.924835,815.461487,685.081726,313.37262,844.364929,634.322388,261.203796,845.885254,605.365479,233.781723,848.350037,571.216614,221.446304,855.061523,554.119568,289.149597,858.952209,524.804138,285.394897,854.288452,496.571899,276.135315,845.247437,129.336243,47.686405,764.237488,157.998962,37.750778,756.525269,179.593094,31.624426,750.71167,47.519569,30.647064,761.443237,71.160919,9.042535,755.223022,97.75679,-9.32224,748.394043,89.11554,75.281174,774.5224,86.867043,107.473869,763.499146,43.892441,99.342506,776.68158,-21.249676,107.739143,788.607422,185.93602,980.306213,1492.301147,239.173553,974.138062,1516.260376,290.305328,986.279602,1498.588989,555.223755,-509.427734,834.743286,509.366882,-515.935608,834.126953,496.756531,-457.619202,834.501587,556.267273,-455.556671,834.831299,502.451721,-521.582458,738.400696,493.220398,-445.783173,739.286377,558.2771,-444.703888,740.247803,563.524475,-513.139709,740.69989,128.129974,406.113037,842.694824,87.429268,465.35907,842.137146,23.979578,415.791779,840.320068,65.515289,359.540009,841.717041,138.093307,406.166718,737.565552,91.334351,471.589935,736.914856,18.344578,413.289642,733.37085,66.217018,350.306885,735.294128
00136_color_1715976615.944778.png,1916,1715976615.94432,632.422668,309.962433,834.101746,685.202576,353.521393,802.382935,693.300903,307.690613,830.430725,642.442993,255.258774,833.884338,614.039917,227.339905,837.154053,580.132568,214.675583,845.267456,562.692993,282.677246,850.746216,533.298584,278.817749,847.225891,504.720337,269.451355,839.142517,129.270813,47.586288,764.19696,157.744141,37.208706,756.575378,179.379578,31.132938,750.807678,47.397148,30.438431,761.461243,71.005585,8.791932,755.118103,97.730011,-9.425552,748.344666,89.063545,75.166321,774.560242,86.77813,107.289185,763.534424,43.846069,99.165024,776.824585,-21.327038,107.539467,788.699707,185.967041,980.260498,1492.312256,239.179031,974.142334,1516.254395,290.312103,986.287903,1498.58313,555.213013,-509.424164,834.742798,509.372528,-515.93219,834.123596,496.753937,-457.638428,834.489685,556.267578,-455.550751,834.824463,502.450836,-521.582825,738.394592,493.212372,-445.765869,739.283142,558.303162,-444.728668,740.235413,563.506836,-513.150574,740.675781,128.134918,406.125977,842.694702,87.429512,465.347229,842.121826,23.977253,415.766235,840.314514,65.511208,359.531799,841.707825,138.080109,406.174469,737.55365,91.332291,471.578796,736.908997,18.333344,413.305298,733.38208,66.214607,350.292267,735.30603
00137_color_1715976615.979285.png,1919,1715976615.97432,640.688538,303.519867,824.228271,691.324097,348.056122,790.344482,701.672974,301.751617,817.024475,651.018677,248.792328,822.588135,622.967529,220.430206,827.009644,589.7005,207.257812,836.492859,571.873169,275.527649,843.876465,542.286438,271.516418,841.808167,513.422607,262.035156,834.872803,129.233597,47.529629,764.156128,157.708984,37.178905,756.557434,179.34613,31.121418,750.785095,47.35347,30.328829,761.51532,70.951721,8.700868,755.085266,97.691841,-9.48757,748.278809,89.089287,75.149384,774.605652,86.787895,107.319298,763.665833,43.855583,99.087593,776.936768,-21.365334,107.504028,788.771606,185.937332,980.273376,1492.291748,239.170944,974.142151,1516.249268,290.302521,986.279175,1498.568359,555.077515,-509.222321,834.627625,509.360382,-515.928894,834.12561,496.736023,-457.604309,834.50061,556.255066,-455.533966,834.827271,502.438782,-521.585083,738.403076,493.211578,-445.779846,739.262329,558.27832,-444.718719,740.23822,563.495911,-513.126465,740.677734,128.125366,406.115662,842.660706,87.425987,465.354279,842.112427,23.984198,415.779297,840.302002,65.503288,359.523712,841.698853,138.084244,406.181427,737.553467,91.328514,471.581726,736.893677,18.323898,413.288147,733.366943,66.208138,350.308472,735.30542
00138_color_1715976616.014001.png,1923,1715976616.0143201,652.325073,294.549591,812.604004,699.827881,340.536621,775.750732,712.729187,293.793854,800.755249,663.099976,239.985062,809.283569,636.03479,211.13855,815.260864,603.501465,196.928101,826.369629,585.342041,265.526917,836.72406,555.714539,260.957611,836.419556,526.519958,251.228577,831.335449,129.235382,47.478642,764.134155,157.716278,37.159462,756.544006,179.355209,31.092556,750.780762,47.407578,30.325214,761.61322,70.937599,8.644041,755.114197,97.719345,-9.47891,748.30127,89.081116,75.10733,774.64801,86.777504,107.17968,763.617065,43.887173,99.068916,777.071777,-21.357986,107.518539,788.846375,185.95137,980.291321,1492.333618,239.178055,974.142334,1516.254395,290.308563,986.283936,1498.581177,555.21814,-509.400055,834.739624,509.361969,-515.940552,834.121948,496.74469,-457.63327,834.484131,556.252808,-455.524597,834.827454,502.416443,-521.56897,738.397034,493.213684,-445.754303,739.279419,558.295044,-444.729736,740.227844,563.496216,-513.125427,740.675964,128.129486,406.119354,842.665955,87.435188,465.350891,842.112488,24.215786,415.765686,840.510437,65.518654,359.518524,841.699646,138.105774,406.181488,737.57196,91.330864,471.58139,736.891296,18.337521,413.290558,733.36969,66.208961,350.310577,735.295898
00139_color_1715976616.048720.png,1926,1715976616.04432,661.277954,287.772766,805.626953,706.938293,334.510315,767.237488,721.157471,287.572449,791.177307,672.111023,233.234772,801.104065,645.467896,204.058411,807.7948,613.321167,189.219482,819.694763,595.422791,258.068726,832.15271,565.88092,253.387146,833.189636,536.497498,243.445389,829.146484,129.279388,47.587158,764.159241,157.775558,37.212746,756.553772,179.383011,31.132336,750.769653,47.514118,30.473516,761.66394,71.090904,8.817732,755.236694,97.747536,-9.415909,748.325806,89.126801,75.211685,774.631226,86.806335,107.314957,763.574036,43.928703,99.195107,777.029236,-21.309158,107.681236,788.775208,186.727768,980.089294,1493.412476,239.175278,974.146973,1516.258301,290.304077,986.28479,1498.581421,555.213684,-509.39624,834.745483,509.355835,-515.922913,834.122559,496.736572,-457.627319,834.484741,556.262268,-455.518097,834.819153,502.44809,-521.562744,738.425293,493.19281,-445.757996,739.289062,558.278381,-444.714661,740.233398,563.517273,-513.120605,740.678833,128.136261,406.136078,842.690491,87.42675,465.354828,842.121094,24.215305,415.780579,840.50116,65.513298,359.540741,841.708435,138.108109,406.178406,737.565308,91.329475,471.592072,736.89917,18.344915,413.299438,733.358887,66.220795,350.309448,735.290527
00140_color_1715976616.083110.png,1930,1715976616.08432,672.174011,279.201355,799.167725,717.428589,325.281067,759.556396,731.58905,278.43576,783.724854,682.608582,224.557236,794.928955,655.475891,195.350967,801.892029,623.558533,180.854675,814.303101,606.548096,250.189392,827.288696,576.940979,245.521484,828.670593,547.511047,235.686401,825.01178,129.315063,47.615574,764.14032,157.926239,37.707012,756.407471,179.577164,31.622328,750.687927,47.530624,30.510935,761.648926,71.11776,8.874694,755.237854,97.754219,-9.38246,748.327576,89.125862,75.231079,774.546326,86.808983,107.397102,763.552551,43.910694,99.265007,776.926086,-21.226976,107.771721,788.814575,185.946503,980.225037,1492.314697,239.175781,974.139771,1516.248657,290.298553,986.249268,1498.552856,555.215088,-509.39328,834.747864,509.362335,-515.931152,834.130066,496.732086,-457.622498,834.49054,556.257935,-455.51355,834.819153,502.427765,-521.578003,738.425415,493.218719,-445.779663,739.273926,558.272705,-444.713928,740.241211,563.509033,-513.135376,740.6875,128.130615,406.121307,842.685486,87.429527,465.353912,842.111572,24.216795,415.761688,840.492371,65.509956,359.555939,841.692993,138.09108,406.178894,737.561096,91.33493,471.595306,736.893311,18.36272,413.283905,733.36908,66.199997,350.310333,735.299561
00141_color_1715976616.117220.png,1933,1715976616.11432,678.701782,272.715637,797.222534,725.454407,317.239594,757.732178,738.523621,270.77594,783.380615,688.614624,217.920609,794.724243,661.157776,189.120331,801.58313,628.634949,175.333054,813.59613,611.991333,245.181732,824.285889,582.363342,240.991257,825.030823,552.93457,231.55896,820.952759,129.325516,47.791927,764.029785,157.836502,37.424438,756.553711,179.430511,31.264961,750.784851,47.645439,30.759626,761.645447,71.302353,9.169192,755.337769,97.813347,-9.202487,748.437622,89.154221,75.542114,774.372681,86.810684,107.711533,763.346924,43.89946,99.543694,776.530457,-21.113846,108.491341,789.052368,185.95816,980.268188,1492.321167,239.178635,974.140198,1516.256714,290.300079,986.275879,1498.576782,555.197021,-509.406494,834.754211,509.364319,-515.943542,834.135376,496.734558,-457.623169,834.500793,556.249573,-455.554932,834.840881,502.434662,-521.578247,738.407776,493.198151,-445.767242,739.292908,558.282227,-444.746979,740.238586,563.526001,-513.147156,740.698364,128.126312,406.090179,842.65625,87.41925,465.348511,842.110291,24.207767,415.748657,840.483643,65.508606,359.531647,841.694153,138.090775,406.16861,737.548401,91.322639,471.57666,736.887634,18.497849,413.34024,733.601196,66.187233,350.296356,735.291687
00142_color_1715976616.151368.png,1937,1715976616.15432,686.866211,262.93631,801.007446,736.16333,306.056793,762.389465,747.983765,260.477966,789.914917,696.658081,208.137833,800.423218,669.031555,179.443832,806.529846,635.974976,165.876221,817.217285,618.761658,236.465912,824.991333,588.978333,232.722061,824.218933,559.733887,223.433517,818.908813,129.477356,48.079571,764.101746,158.0979,38.052387,756.499756,179.665894,31.801998,750.688049,47.785099,30.982285,761.545044,71.543335,9.413171,755.46637,97.988174,-9.098569,748.551697,89.211388,75.824211,774.273987,86.823753,107.977646,763.198242,43.958134,99.772438,776.08606,-21.220291,108.131767,788.298279,185.962311,980.312195,1492.301147,239.177231,974.135742,1516.258301,290.303375,986.272644,1498.580566,555.205444,-509.413605,834.757874,509.364441,-515.937073,834.136719,496.74353,-457.640503,834.489685,556.250732,-455.558685,834.832275,502.433167,-521.576233,738.405823,493.190338,-445.764435,739.287109,558.28833,-444.741547,740.24115,563.479675,-513.114868,740.686523,128.132065,406.105988,842.660522,87.423843,465.339447,842.110535,24.227482,415.744293,840.466187,65.506844,359.528259,841.697998,138.096832,406.18103,737.561035,91.333542,471.588623,736.894653,18.133747,413.698334,733.825256,66.214561,350.30719,735.27478
00143_color_1715976616.185829.png,1940,1715976616.18432,693.902039,255.754623,807.910583,743.48877,299.311981,769.891907,755.22113,253.665359,797.359375,704.046448,200.701416,806.99762,676.405273,172.019775,812.767151,643.298889,158.25882,823.030884,625.540405,228.67038,830.829407,595.850586,224.67453,829.68811,566.629517,215.140915,823.839722,129.516724,48.035263,764.137634,157.971359,37.563873,756.618958,179.538895,31.348091,750.762207,47.864986,31.044661,761.384827,71.66114,9.301762,755.279602,98.214317,-9.184131,748.462219,89.14669,75.743713,774.275269,86.760376,107.968239,763.261047,43.831154,99.439056,775.722473,-21.368698,107.386559,787.942078,185.967819,980.301025,1492.338135,239.179962,974.133179,1516.255127,290.305084,986.247559,1498.558716,555.197998,-509.42041,834.756714,509.345398,-515.941956,834.12323,496.729126,-457.620758,834.501343,556.234985,-455.544708,834.837036,502.428772,-521.590515,738.422302,493.205353,-445.778687,739.292847,558.28833,-444.734985,740.238525,563.488953,-513.145813,740.702576,128.114395,406.077698,842.643921,87.410141,465.338654,842.104492,24.207243,415.738525,840.470276,65.656563,359.442505,841.666077,138.079071,406.180054,737.535583,91.318909,471.57843,736.881897,18.674545,413.22403,733.570862,66.183502,350.282318,735.276123
00144_color_1715976616.220288.png,1944,1715976616.22432,702.605835,248.245865,819.063416,751.762085,292.946228,781.569336,764.055542,246.869308,808.099487,713.266113,193.592392,817.578552,685.795349,164.495789,822.896484,652.898499,150.34491,833.314026,634.519592,220.058167,841.85553,604.85144,215.91095,840.875,575.69043,206.097305,834.983337,129.688202,48.087318,764.280823,158.118851,37.626537,756.707764,179.65657,31.398312,750.771912,48.109097,30.870104,761.144531,72.052315,9.461894,755.524048,98.948631,-8.838916,748.84314,89.086563,75.758141,774.341187,86.685959,107.923752,763.198669,43.79126,99.406769,775.518677,-21.374897,106.728188,787.684814,185.952927,980.263123,1492.328979,239.179871,974.139221,1516.250977,290.302826,986.274414,1498.575073,555.198425,-509.422607,834.741028,509.355377,-515.944458,834.133667,496.724731,-457.62384,834.492676,556.233948,-455.53244,834.829529,502.420074,-521.584229,738.40686,493.186523,-445.773163,739.283936,558.27179,-444.73056,740.251465,563.498291,-513.144104,740.697937,128.118988,406.103302,842.652832,87.42926,465.514435,842.34082,24.183971,415.737823,840.474548,65.632538,359.687775,842.066345,138.081619,406.160645,737.530762,91.315361,471.575226,736.878723,18.459093,413.335083,733.567749,66.250664,350.277069,735.393799
